city1,city2
"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Orlando, FL"
"Chicago, IL","New York City, NY (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Seattle, WA"
"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL"
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)"
"Chicago, IL","Los Angeles, CA (Metropolitan Area)"
"San Diego, CA","San Francisco, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)"
"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Seattle, WA"
"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Orlando, FL","Washington, DC (Metropolitan Area)"
"Las Vegas, NV","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Washington, DC (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Denver, CO","Los Angeles, CA (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Orlando, FL"
"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ"
"Los Angeles, CA (Metropolitan Area)","Sacramento, CA"
"Las Vegas, NV","New York City, NY (Metropolitan Area)"
"Houston, TX","New York City, NY (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)"
"Chicago, IL","Orlando, FL"
"Chicago, IL","Dallas/Fort Worth, TX"
"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Chicago, IL"
"Chicago, IL","Miami, FL (Metropolitan Area)"
"Chicago, IL","San Francisco, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)"
"Houston, TX","Los Angeles, CA (Metropolitan Area)"
"Denver, CO","New York City, NY (Metropolitan Area)"
"Charlotte, NC","New York City, NY (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Portland, OR"
"Atlanta, GA (Metropolitan Area)","Chicago, IL"
"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)"
"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)"
"Chicago, IL","Phoenix, AZ"
"Chicago, IL","Denver, CO"
"Phoenix, AZ","San Francisco, CA (Metropolitan Area)"
"Chicago, IL","Las Vegas, NV"
"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC"
"Orlando, FL","Philadelphia, PA"
"Nashville, TN","New York City, NY (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX"
"New York City, NY (Metropolitan Area)","Phoenix, AZ"
"Denver, CO","San Francisco, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Orlando, FL"
"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)"
"Denver, CO","Washington, DC (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Seattle, WA"
"Chicago, IL","Houston, TX"
"Dallas/Fort Worth, TX","Denver, CO"
"Houston, TX","Washington, DC (Metropolitan Area)"
"Detroit, MI","New York City, NY (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT"
"Denver, CO","Phoenix, AZ"
"Dallas/Fort Worth, TX","Las Vegas, NV"
"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)"
"Phoenix, AZ","Seattle, WA"
"Fort Myers, FL","New York City, NY (Metropolitan Area)"
"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)"
"Los Angeles, CA (Metropolitan Area)","Orlando, FL"
"Miami, FL (Metropolitan Area)","Philadelphia, PA"
"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)"
"Austin, TX","New York City, NY (Metropolitan Area)"
"Las Vegas, NV","Seattle, WA"
"New York City, NY (Metropolitan Area)","San Diego, CA"
"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)"
"Portland, OR","San Francisco, CA (Metropolitan Area)"
"Dallas/Fort Worth, TX","Phoenix, AZ"
"Houston, TX","Miami, FL (Metropolitan Area)"
"Chicago, IL","Tampa, FL (Metropolitan Area)"
"Austin, TX","Los Angeles, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Houston, TX"
"Chicago, IL","Philadelphia, PA"
"Denver, CO","Las Vegas, NV"
"Detroit, MI","Orlando, FL"
"Chicago, IL","Seattle, WA"
"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)"
"Las Vegas, NV","Washington, DC (Metropolitan Area)"
"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)"
"Detroit, MI","Miami, FL (Metropolitan Area)"
"Boston, MA (Metropolitan Area)","Denver, CO"
"San Diego, CA","Seattle, WA"
"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX"
"Atlanta, GA (Metropolitan Area)","Orlando, FL"
"Dallas/Fort Worth, TX","Seattle, WA"
"Denver, CO","Seattle, WA"
"Denver, CO","Houston, TX"
"Atlanta, GA (Metropolitan Area)","Philadelphia, PA"
"New Orleans, LA","New York City, NY (Metropolitan Area)"
"Seattle, WA","Washington, DC (Metropolitan Area)"
"Houston, TX","Orlando, FL"
"Houston, TX","Las Vegas, NV"
"Sacramento, CA","San Diego, CA"
"Denver, CO","Minneapolis/St. Paul, MN"
"Los Angeles, CA (Metropolitan Area)","Philadelphia, PA"
"Chicago, IL","Minneapolis/St. Paul, MN"
"Los Angeles, CA (Metropolitan Area)","Nashville, TN"
"Charleston, SC","New York City, NY (Metropolitan Area)"
